Date,Topic,Due Before Class
5/25,Intro to Graphs & Networks,
6/1,NO CLASS,Class Survey
6/8,Graphs & Networks cont. / Graph Algorithms,Homework 1
6/15,Graph Algorithms cont. / Graph Databases,Project Deliverable I
6/22,Graph Databases cont.,Homework II
6/29,Graph Visualization,Project Deliverable II
7/6,Exam, Introduction to Graph Machine Learning,
7/13,Graph Machine Learning cont.,Project Deliverable III
7/20,Utilization of Network Science,Homework III
7/27,Open Week,Project Deliverable IV
8/3,Presentations,
